Zeit;Kanal A
(ms);(V)

-0,96943996;0,00000000
-0,96940796;-0,07874016
-0,96937596;0,00000000
-0,96934396;-0,07874016
-0,96931196;0,00000000
-0,96927996;-0,07874016
-0,96924796;0,00000000
-0,96921596;-0,07874016
-0,96918396;0,00000000
-0,96915196;-0,07874016
-0,96911996;0,00000000
-0,96908796;-0,07874016
-0,96905596;0,00000000
-0,96902396;0,00000000
-0,96899196;0,00000000
-0,96895996;-0,15748031
-0,96892796;0,00000000
-0,96889596;-0,07874016
-0,96886396;-0,07874016
-0,96883196;0,00000000
-0,96879996;-0,07874016
-0,96876796;-0,07874016
-0,96873596;0,00000000
-0,96870396;-0,07874016
-0,96867196;0,00000000
-0,96863996;0,00000000
-0,96860796;-0,07874016
-0,96857596;0,00000000
-0,96854396;0,00000000
-0,96851196;0,00000000
-0,96847996;-0,07874016
-0,96844796;-0,07874016
-0,96841596;-0,07874016
-0,96838396;0,00000000
-0,96835196;0,00000000
-0,96831996;0,00000000
-0,96828796;-0,07874016
-0,96825596;-0,07874016
-0,96822396;0,00000000
-0,96819196;-0,07874016
-0,96815996;-0,07874016
-0,96812796;0,00000000
-0,96809596;-0,07874016
-0,96806396;0,00000000
-0,96803196;0,00000000
-0,96799996;0,00000000
-0,96796796;0,00000000
-0,96793596;-0,07874016
-0,96790396;-0,07874016
-0,96787196;-0,07874016
-0,96783996;-0,07874016
-0,96780796;0,00000000
-0,96777596;-0,07874016
-0,96774396;-0,07874016
-0,96771196;0,00000000
-0,96767996;0,00000000
-0,96764796;0,00000000
-0,96761596;-0,07874016
-0,96758396;-0,07874016
-0,96755196;-0,07874016
-0,96751996;0,00000000
-0,96748796;0,00000000
-0,96745596;-0,07874016
-0,96742396;0,00000000
-0,96739196;0,00000000
-0,96735996;-0,07874016
-0,96732796;0,00000000
-0,96729596;-0,07874016
-0,96726396;0,00000000
-0,96723196;-0,07874016
